,X,Y,X,Y,X,Y,X,Y,I,J,I,J,I,J,I,J
0,1005,1678,1080,1901,1057,2021,891,2209,1451,1685,1369,1927,1396,2042,1580,2209
1,987,1545,1041,1825,1029,1951,828,2149,1467,1558,1412,1837,1416,1967,1647,2146
2,999,1581,1061,1844,1043,1965,865,2143,1456,1591,1392,1852,1406,1978,1605,2142
3,947,1375,980,1659,981,1784,774,2007,1416,1383,1394,1661,1385,1793,1626,1993
4,984,1497,1032,1779,1024,1908,816,2119,1468,1508,1421,1793,1420,1924,1660,2115
5,985,1428,1022,1710,1019,1839,807,2059,1464,1437,1429,1725,1424,1856,1665,2055
6,992,1258,1006,1533,1012,1658,799,1886,1451,1262,1446,1550,1430,1672,1667,1881
7,676,1218,704,1531,709,1614,555,1835,1096,1230,1111,1437,1094,1577,1327,1758
8,992,1135,989,1409,1001,1526,780,1773,1445,1140,1459,1433,1436,1535,1684,1761
9,990,1072,979,1348,994,1465,767,1723,1443,1077,1468,1374,1440,1473,1697,1710
10,987,846,946,1117,974,1229,731,1500,1433,844,1500,1138,1449,1239,1726,1500
11,1007,1701,1085,1918,1061,2036,897,2222,1450,1707,1363,1944,1393,2058,1574,2222
12,1009,1718,1089,1926,1064,2044,904,2229,1448,1722,1361,1951,1392,2066,1567,2229
13,1011,1724,1091,1923,1067,2042,910,2228,1447,1726,1360,1947,1392,2063,1560,2228
14,1011,1747,1107,2005,1068,2153,909,2244,1446,1743,1344,2005,1379,2136,1560,2232
15,1011,1770,1109,2022,1070,2172,912,2261,1447,1763,1342,2022,1378,2155,1558,2249
16,1011,1798,1112,2042,1072,2193,918,2280,1447,1788,1339,2042,1377,2175,1553,2268
17,1013,1825,1116,2065,1075,2214,925,2295,1448,1814,1335,2064,1376,2196,1545,2284
18,1019,1858,1124,2100,1080,2234,938,2300,1447,1852,1328,2101,1375,2220,1530,2295
19,991,1567,1049,1845,1034,1968,841,2155,1464,1580,1404,1853,1412,1981,1634,2153
20,944,1555,998,1837,988,1952,808,2141,1405,1569,1348,1825,1359,1958,1578,2128
21,559,1032,567,1363,562,1420,441,1632,925,1039,964,1203,942,1345,1143,1482
22,813,1263,844,1550,851,1649,679,1850,1238,1269,1247,1505,1236,1636,1463,1812
23,770,1266,803,1559,808,1654,644,1860,1192,1273,1202,1499,1191,1634,1418,1810
24,726,1264,759,1564,764,1654,607,1865,1146,1272,1155,1488,1144,1626,1371,1801
25,666,1233,694,1544,698,1624,552,1839,1079,1245,1092,1444,1079,1584,1305,1757
26,847,1254,875,1539,882,1640,701,1841,1275,1259,1284,1503,1272,1631,1499,1808
27,735,1140,743,1447,754,1532,578,1778,1164,1155,1183,1380,1159,1501,1400,1703
28,788,1146,796,1445,807,1535,622,1776,1217,1158,1234,1394,1213,1513,1449,1714
29,689,1145,700,1460,709,1541,543,1784,1116,1163,1134,1377,1109,1503,1354,1700
30,660,1161,676,1481,683,1559,526,1795,1084,1179,1101,1385,1077,1516,1322,1705
31,642,1263,674,1575,675,1652,541,1860,1046,1275,1056,1462,1048,1605,1264,1767
32,855,1895,969,2161,930,2249,828,2316,1269,1911,1149,2111,1213,2225,1363,2297
33,658,1204,684,1520,688,1600,538,1822,1075,1218,1091,1419,1073,1558,1305,1738
34,552,1225,584,1553,570,1608,485,1785,909,1239,922,1391,923,1534,1104,1652
35,599,1227,631,1550,628,1620,503,1823,992,1242,1006,1419,998,1562,1208,1714
36,773,1462,810,1746,811,1841,679,2039,1198,1472,1163,1671,1171,1814,1394,1981
37,939,1665,999,1904,983,2014,844,2207,1381,1675,1293,1899,1321,2022,1527,2193
38,952,1714,1016,1933,998,2042,868,2231,1386,1719,1290,1929,1324,2051,1521,2219
39,875,1673,924,1912,914,2012,808,2211,1307,1682,1214,1874,1246,2005,1466,2181
40,841,1685,884,1915,879,2010,795,2214,1261,1692,1164,1856,1202,1993,1425,2172
41,905,1710,959,1933,947,2035,842,2229,1332,1716,1232,1904,1270,2033,1477,2205
42,874,1711,920,1932,913,2030,825,2228,1291,1715,1188,1883,1231,2018,1444,2193
43,796,1746,863,1983,848,2074,775,2236,1205,1752,1103,1900,1152,2038,1350,2183
44,946,1541,1000,1829,991,1950,796,2149,1423,1555,1370,1825,1376,1959,1610,2138
45,936,1494,986,1783,981,1907,779,2120,1417,1506,1374,1780,1374,1916,1616,2105
46,602,1113,621,1447,627,1523,470,1763,1020,1138,1044,1331,1021,1466,1264,1651
47,862,1349,891,1628,895,1734,721,1938,1297,1357,1284,1593,1278,1725,1499,1902
48,833,1506,877,1793,881,1896,723,2100,1285,1519,1242,1740,1251,1884,1482,2059
49,833,1478,874,1763,879,1867,722,2072,1281,1490,1245,1711,1252,1854,1480,2030
50,657,1443,687,1736,689,1817,588,2017,1061,1455,1032,1618,1041,1770,1261,1929
51,940,1431,981,1718,980,1843,774,2063,1417,1441,1385,1718,1380,1852,1623,2049
52,688,1073,697,1396,707,1485,519,1747,1130,1096,1158,1318,1124,1442,1389,1652
53,633,1084,646,1414,656,1496,482,1751,1064,1109,1092,1314,1063,1445,1320,1644
