,X,Y,X,Y,X,Y,X,Y,I,J,I,J,I,J,I,J
0,1051,1904,1259,1748,1214,1815,1223,1716,1408,1918,1190,1758,1258,1809,1257,1741
1,1061,1713,1260,1547,1227,1620,1239,1529,1393,1726,1187,1559,1246,1612,1239,1544
2,1048,1775,1248,1631,1215,1695,1221,1606,1406,1787,1199,1643,1255,1693,1253,1622
3,1008,1549,1196,1418,1182,1457,1182,1388,1361,1557,1165,1424,1202,1458,1204,1399
4,1062,1659,1258,1496,1230,1564,1240,1478,1391,1671,1188,1507,1243,1556,1237,1490
5,1057,1593,1249,1445,1228,1499,1233,1422,1395,1602,1195,1453,1241,1493,1239,1431
6,1039,1440,1223,1336,1219,1355,1210,1301,1410,1442,1219,1336,1240,1355,1248,1301
7,674,1452,859,1396,866,1369,846,1331,1109,1453,927,1399,922,1410,952,1361
8,1033,1338,1213,1241,1219,1236,1203,1205,1416,1339,1229,1231,1237,1233,1251,1201
9,1034,1274,1211,1182,1222,1169,1204,1146,1417,1274,1231,1168,1235,1163,1250,1137
10,1023,1041,1192,1032,1218,994,1193,983,1429,1029,1248,987,1233,966,1258,942
11,1051,1930,1259,1774,1213,1841,1222,1741,1408,1944,1189,1785,1258,1836,1258,1767
12,1049,1949,1258,1801,1210,1864,1219,1766,1410,1963,1191,1811,1260,1861,1260,1791
13,1046,1957,1254,1818,1207,1876,1215,1782,1413,1970,1195,1828,1262,1875,1262,1804
14,1047,1967,1253,1863,1205,1899,1215,1803,1413,1975,1194,1854,1263,1891,1262,1817
15,1048,1986,1256,1884,1205,1918,1217,1820,1412,1994,1192,1874,1264,1909,1262,1834
16,1049,2010,1257,1913,1205,1945,1217,1846,1411,2019,1191,1901,1265,1935,1262,1858
17,1047,2039,1256,1946,1202,1974,1215,1876,1411,2048,1191,1934,1266,1966,1262,1888
18,1040,2091,1250,2006,1195,2033,1206,1939,1416,2104,1196,1996,1270,2028,1265,1952
19,1057,1742,1256,1581,1223,1654,1233,1563,1397,1755,1191,1594,1249,1648,1244,1578
20,1004,1743,1200,1597,1172,1659,1176,1573,1360,1754,1157,1608,1212,1659,1209,1590
21,470,1286,662,1301,690,1231,648,1220,978,1295,819,1289,768,1285,818,1250
22,814,1490,1000,1417,1001,1413,983,1363,1235,1489,1043,1424,1049,1444,1073,1390
23,766,1497,953,1426,954,1417,938,1369,1191,1495,1001,1431,1005,1452,1030,1398
24,719,1496,906,1429,909,1415,891,1370,1148,1496,962,1433,962,1453,989,1400
25,655,1472,839,1415,848,1389,826,1351,1094,1475,912,1420,908,1434,939,1384
26,854,1475,1039,1400,1042,1399,1022,1349,1272,1475,1080,1407,1087,1426,1109,1372
27,753,1374,934,1289,947,1264,925,1237,1175,1381,992,1296,988,1300,1015,1263
28,801,1375,984,1290,997,1269,974,1240,1221,1381,1037,1297,1035,1301,1060,1263
29,706,1382,885,1300,899,1273,877,1246,1132,1389,949,1308,944,1313,974,1276
30,673,1399,851,1324,864,1296,842,1266,1105,1405,922,1332,915,1339,947,1298
31,615,1508,802,1452,809,1427,787,1388,1060,1512,878,1455,873,1475,905,1424
32,849,2185,1040,2095,997,2116,1002,2034,1244,2197,1019,2089,1097,2138,1091,2064
33,656,1441,841,1388,849,1355,828,1320,1095,1444,915,1392,908,1400,939,1352
34,452,1500,644,1487,657,1435,621,1410,953,1509,783,1484,748,1501,791,1454
35,556,1479,745,1432,755,1397,728,1365,1014,1485,838,1433,823,1449,858,1403
36,795,1696,977,1592,968,1612,961,1547,1193,1700,990,1599,1028,1640,1041,1578
37,993,1898,1188,1745,1151,1807,1161,1711,1352,1910,1131,1754,1202,1807,1201,1740
38,1001,1951,1198,1809,1157,1866,1169,1771,1364,1962,1140,1815,1215,1866,1214,1797
39,932,1920,1113,1780,1084,1834,1093,1743,1299,1927,1070,1783,1148,1840,1147,1774
40,891,1948,1066,1820,1040,1865,1051,1781,1266,1951,1035,1819,1116,1878,1115,1812
41,956,1959,1143,1824,1108,1876,1120,1784,1326,1966,1098,1827,1177,1880,1175,1812
42,919,1969,1101,1846,1070,1890,1082,1804,1296,1973,1067,1844,1148,1899,1146,1831
43,820,2030,994,1930,967,1955,976,1878,1215,2029,986,1922,1065,1978,1064,1908
44,1018,1712,1215,1549,1185,1618,1195,1529,1354,1726,1149,1562,1207,1616,1201,1548
45,1013,1662,1206,1503,1180,1565,1189,1481,1346,1674,1143,1513,1197,1563,1193,1498
46,594,1353,780,1289,795,1247,772,1229,1032,1358,861,1290,841,1291,878,1259
47,885,1564,1066,1469,1064,1484,1051,1425,1284,1567,1086,1475,1112,1503,1125,1446
48,889,1710,1072,1579,1058,1623,1055,1547,1259,1720,1054,1589,1106,1639,1108,1574
49,884,1685,1066,1560,1055,1599,1050,1526,1259,1693,1054,1569,1103,1615,1106,1551
50,648,1699,831,1611,827,1614,817,1558,1068,1704,870,1617,895,1660,917,1599
51,1011,1600,1201,1455,1182,1505,1186,1430,1353,1610,1153,1462,1199,1504,1198,1442
52,719,1295,895,1207,911,1170,891,1158,1129,1301,952,1208,937,1202,971,1177
53,646,1316,828,1239,845,1198,823,1185,1070,1321,897,1240,879,1236,915,1209
54,527,1191,717,1200,746,1132,708,1125,1010,1199,852,1185,804,1174,852,1144
55,935,1329,1109,1230,1119,1214,1102,1191,1325,1333,1136,1226,1137,1225,1160,1196
56,845,1386,1028,1304,1040,1290,1016,1256,1263,1391,1077,1311,1078,1318,1101,1275
57,784,1988,958,1884,934,1910,942,1839,1179,1984,955,1876,1030,1937,1030,1870
58,480,1984,673,1963,660,1936,623,1886,1000,1992,812,1959,810,2010,834,1946
59,924,1738,1111,1604,1093,1655,1091,1575,1294,1748,1090,1616,1144,1667,1145,1600
60,965,1753,1156,1619,1133,1672,1133,1590,1333,1764,1129,1631,1183,1680,1182,1611
61,844,1990,1015,1890,991,1918,1005,1845,1232,1984,1001,1877,1086,1934,1084,1868
62,863,1985,1039,1887,1013,1915,1027,1840,1253,1980,1025,1873,1107,1928,1105,1862
63,616,1285,799,1219,817,1172,794,1162,1047,1289,878,1216,853,1210,891,1185
64,885,1736,1068,1610,1054,1653,1050,1577,1261,1744,1056,1619,1109,1670,1111,1603
65,814,1296,987,1200,1000,1170,983,1157,1213,1302,1030,1199,1020,1194,1051,1169
66,805,1255,977,1167,993,1132,974,1122,1203,1259,1022,1162,1010,1153,1041,1131
67,742,1066,921,1062,951,1007,922,1002,1172,1067,1006,1033,975,1014,1013,992
68,574,1235,760,1208,782,1152,753,1142,1028,1240,864,1198,827,1190,871,1162
69,780,1154,955,1111,976,1068,953,1058,1190,1156,1017,1092,996,1079,1029,1055
70,560,1334,748,1284,766,1235,740,1220,1010,1340,843,1281,816,1280,856,1250
71,516,1312,707,1295,729,1236,695,1222,994,1319,830,1287,791,1285,837,1251
72,997,1929,1193,1779,1154,1840,1165,1743,1357,1941,1133,1787,1207,1840,1206,1772
73,947,1944,1130,1805,1098,1859,1109,1767,1314,1951,1084,1808,1164,1864,1162,1797
74,906,1960,1085,1833,1056,1878,1068,1793,1281,1963,1050,1831,1132,1889,1130,1822
75,936,1747,1123,1617,1104,1666,1103,1587,1308,1757,1103,1628,1157,1677,1158,1610
76,855,1988,1028,1889,1004,1918,1018,1843,1242,1983,1012,1875,1097,1932,1095,1866
77,876,1989,1050,1893,1023,1919,1038,1839,1260,1987,1029,1879,1113,1930,1111,1861
78,866,1981,1044,1884,1018,1912,1030,1836,1259,1977,1033,1871,1112,1925,1110,1858
79,956,1715,1147,1568,1126,1628,1128,1544,1313,1727,1109,1581,1164,1633,1163,1566
80,925,1966,1109,1848,1078,1890,1089,1806,1307,1970,1080,1845,1158,1898,1156,1831
81,962,1961,1151,1832,1115,1881,1126,1792,1337,1968,1112,1834,1187,1886,1186,1817
82,1004,1958,1201,1823,1160,1877,1171,1784,1373,1969,1150,1829,1223,1878,1222,1809
83,978,2093,1175,2006,1128,2031,1141,1938,1356,2103,1132,1995,1211,2032,1207,1956
84,990,2038,1183,1945,1139,1970,1154,1873,1357,2045,1130,1931,1211,1967,1208,1891
85,995,2008,1189,1911,1146,1939,1160,1843,1360,2015,1133,1898,1213,1935,1211,1859
86,999,1984,1193,1881,1150,1913,1165,1817,1364,1990,1139,1870,1216,1909,1214,1835
87,1001,1968,1196,1864,1154,1898,1167,1803,1368,1975,1145,1854,1220,1894,1218,1820
88,918,1974,1102,1876,1069,1905,1083,1819,1299,1976,1073,1863,1151,1910,1149,1840
89,913,1980,1094,1883,1062,1910,1077,1825,1292,1981,1064,1869,1145,1916,1142,1845
90,904,1993,1081,1897,1050,1922,1066,1837,1282,1993,1051,1883,1134,1929,1132,1858
91,893,2010,1068,1915,1039,1939,1053,1854,1273,2011,1040,1902,1125,1948,1122,1877
92,844,1887,1022,1766,999,1805,1005,1727,1225,1890,1006,1768,1073,1825,1075,1758
93,428,1736,621,1734,627,1686,582,1651,968,1744,790,1731,760,1763,800,1708
94,1052,1755,1251,1605,1219,1673,1226,1583,1401,1767,1196,1617,1252,1668,1249,1597
95,893,1979,1075,1883,1044,1910,1057,1828,1280,1978,1055,1869,1133,1919,1131,1850
96,886,1982,1064,1886,1035,1912,1050,1831,1271,1980,1042,1871,1124,1921,1122,1853
97,984,1777,1176,1641,1149,1697,1152,1612,1348,1788,1142,1652,1199,1702,1197,1632
98,902,1770,1085,1647,1068,1690,1065,1614,1281,1777,1074,1655,1129,1706,1131,1638
99,975,1765,1166,1631,1141,1685,1143,1601,1341,1777,1136,1642,1191,1692,1190,1622
100,834,1597,1015,1504,1013,1517,1001,1458,1239,1600,1038,1511,1065,1543,1081,1484
101,759,1635,941,1541,937,1551,927,1493,1168,1638,968,1548,995,1584,1013,1525
102,874,1710,1056,1590,1045,1627,1039,1555,1255,1717,1049,1598,1099,1646,1103,1581
103,614,1116,798,1119,828,1054,795,1049,1071,1121,910,1098,868,1081,912,1056
104,658,1180,837,1145,860,1092,834,1085,1090,1184,923,1131,890,1119,931,1094
105,700,1256,876,1178,894,1136,873,1128,1113,1260,939,1175,919,1166,954,1143
106,862,2054,1040,1958,1008,1982,1018,1900,1251,2057,1023,1949,1102,1999,1100,1927
107,921,1263,1094,1172,1107,1147,1089,1132,1308,1267,1123,1162,1119,1156,1144,1131
108,899,1149,1072,1105,1094,1072,1071,1057,1297,1147,1119,1080,1107,1068,1134,1042
109,874,1044,1048,1038,1077,991,1050,983,1288,1039,1115,1001,1093,980,1124,958
110,679,1489,864,1427,870,1407,850,1366,1113,1490,929,1431,927,1449,957,1397
111,563,1546,751,1492,757,1467,734,1428,1014,1552,832,1494,826,1520,859,1468
112,880,1459,1063,1383,1067,1383,1046,1334,1295,1460,1104,1390,1111,1408,1133,1354
113,614,1415,799,1356,812,1322,788,1293,1057,1420,880,1359,867,1368,902,1326
114,920,1528,1103,1432,1100,1446,1088,1389,1314,1530,1119,1436,1142,1461,1155,1404
115,924,1687,1111,1545,1094,1596,1094,1517,1283,1697,1078,1556,1131,1606,1131,1541
116,506,1586,695,1539,700,1509,674,1471,973,1592,792,1540,781,1570,816,1517
117,602,1579,788,1511,791,1496,773,1452,1041,1583,853,1515,857,1547,886,1492
118,669,1593,852,1513,854,1509,839,1460,1095,1597,901,1519,914,1552,939,1496
119,761,1581,944,1496,944,1499,931,1446,1178,1583,981,1503,1000,1533,1020,1477
120,828,1557,1010,1472,1010,1477,995,1423,1240,1558,1043,1478,1061,1505,1080,1448
121,879,1529,1061,1443,1061,1451,1046,1396,1286,1531,1091,1449,1109,1473,1126,1417
122,991,1455,1175,1352,1172,1369,1162,1314,1367,1458,1176,1354,1197,1374,1207,1320
123,518,1692,705,1631,705,1614,684,1568,976,1698,788,1635,792,1676,822,1618
124,570,1411,759,1358,773,1318,746,1292,1022,1417,849,1359,830,1366,867,1328
125,1031,1740,1229,1582,1198,1652,1207,1561,1373,1753,1169,1595,1227,1648,1222,1578
126,893,1611,1074,1506,1069,1530,1058,1465,1284,1616,1082,1513,1117,1547,1127,1487
127,422,1509,614,1522,633,1458,586,1438,960,1517,793,1515,745,1530,794,1483
