AM,Average,,,,Neutral,,Smiling,,Wow,,Frown,,GCM1,Average,,,Neutral/Smile,,Neutral/Wow,,Neutral/Frown,,GCM2,Average,,,Neutral/Smile,,Neutral/Wow,,Neutral/Frown,
Name/ID,Neutral,Smile,Wow,Frown,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Name/ID,Neutral/Smile,Neutral/Wow,Neutral/Frown,Upper,Lower,Upper,Lower,Upper,Lower,Name/ID,Neutral/Smile,Neutral/Wow,Neutral/Frown,Upper,Lower,Upper,Lower,Upper,Lower
Gigi,55.31873654,76.2389782,57.53219262,73.43181673,57.05943265,53.9561724,66.53717262,85.1578585,56.59383095,58.28640061,95.58978296,55.52915205,Gigi,1.137077929,0.146681765,0.164749793,2.395851579,0.048408826,0.138529818,0.153732099,0.208071026,0.127282781,Gigi,0.003748203,0.001353235,0.002008131,0.005846605,0.00193337,0.0017289,0.001028335,0.002319877,0.001738512
Lauren,62.25411625,89.32011966,71.91979013,86.44162127,65.5558064,59.65814401,76.8875404,99.92117415,71.05181896,72.65287205,122.0741084,56.56026908,Lauren,0.393906421,0.609502449,0.530423754,0.556586893,0.253209797,1.219135833,0.082251956,0.786729428,0.308753983,Lauren,0.00976411,0.009972313,0.010128777,0.009007684,0.010418316,0.019215708,0.001978025,0.013686171,0.007052112
Kelsey,34.37294116,57.63728506,74.7584548,70.62062865,46.74118554,23.79003961,76.73978157,41.19038817,63.98349452,84.69206647,75.25119338,67.39274143,Kelsey,0.159250856,0.165223049,0.695214146,0.291411282,0.044949948,0.225042643,0.113487185,1.318625277,0.156047762,Kelsey,0.002235174,0.003659167,0.004669936,0.003077956,0.00150628,0.004142646,0.003241022,0.007408726,0.002301252
Love,62.05554083,58.90761906,58.13560005,29.70276702,66.07795032,58.97378647,74.69630259,45.31897199,45.40240548,69.335597,29.95043193,29.5026481,Love,0.369417478,0.221231756,0.177286581,0.43771523,0.310349151,0.184778556,0.252758849,0.197804686,0.159541192,Love,0.014341248,0.005421495,0.001807295,0.004419711,0.022922036,0.002299223,0.008121838,0.002471274,0.001233044
Nicole,171.7035798,138.133413,118.8381917,187.8297706,71.706146,259.0210094,181.3768313,101.3181274,126.3703808,112.7618984,97.97857872,266.6030003,Nicole,0.211042926,0.207156051,0.131751902,0.256419073,0.171798691,0.203837322,0.210026302,0.16357559,0.104228712,Nicole,0.005838515,0.005929556,0.006557177,0.003700639,0.007687489,0.002741854,0.008686488,0.006229487,0.006840585
Valeria,73.23045563,54.07934234,52.03114954,55.93746972,96.68860022,53.01681843,61.88220275,47.46236893,65.82617694,40.08220381,54.3010632,56.89483543,Valeria,0.666687724,0.670847472,0.352450412,0.364440496,0.928090731,0.48236604,0.833858441,0.340245261,0.363006218,Valeria,0.019523339,0.003460819,0.004585313,0.004187426,0.032786832,0.002729643,0.004093187,0.006287667,0.003113007
Jordan,42.26730983,92.88869357,85.82219955,45.40458506,49.36165758,36.19131847,96.11030485,90.83935471,93.82323012,78.66224064,53.96017518,37.85587868,Jordan,0.28224753,1.373522297,0.393130198,0.545936803,0.054191942,0.976083728,1.717252952,0.572368219,0.238113531,Jordan,0.006686998,0.011336746,0.005891232,0.010829074,0.003104663,0.009533906,0.012895958,0.010473071,0.001928559
Koush,202.1552755,94.42362409,111.2817505,97.43851854,72.75398702,314.4950704,82.51606595,105.1270345,114.5743786,109.3575678,113.817763,84.12725593,Koush,0.660629653,0.10053957,0.367635324,1.259793185,0.142434165,0.166496494,0.043495744,0.619985657,0.149386387,Koush,0.006627945,0.002889422,0.003036408,0.003218792,0.009576401,0.002924638,0.002858966,0.004219239,0.002013419
JavierP,62.98777532,50.81851878,61.89049933,86.11461495,62.12843782,63.90790732,52.51587471,49.01906156,54.12964455,68.67799332,88.53188932,83.22574536,JavierP,0.269113938,0.553321045,0.199312876,0.520544435,0.051660535,1.16689705,0.022660716,0.340348656,0.077335984,JavierP,0.003610181,0.004954174,0.001728671,0.005433574,0.002033193,0.008270559,0.00208595,0.002563988,0.001006234
