Name,Min,Max,Max-Min
Alex,0.120286114,0.000330449,0.119955665
Gigi,0.089019968,0.000496019,0.088523949
Lauren,0.235340328,0.000385433,0.234954895
Kelsey,0.104275067,0.000398794,0.103876273
Love,0.16569682,0.00020855,0.165488271
Nicole,0.230617792,0.000282111,0.230335681
Valeria,0.101615497,0.000230224,0.101385274
Jordan,0.212829475,0.000425597,0.212403878
Koush,0.13125244,0.000618052,0.130634388
JavierP,0.206455301,0.000288405,0.206166896
Makenna,0.093031834,0.000213283,0.09281855
Lanie,0.224101167,0.000517764,0.223583404
Michael,0.143254976,0.00033349,0.142921486
Matthew,0.089634497,0.000262667,0.089371831
Trevor,0.114502343,0.000314364,0.114187978
Nancy,0.157918841,0.001230888,0.156687952
Marianne,0.137363478,0.000563786,0.136799692
Jayna,0.213719912,8.10E-05,0.213638947
Elise,0.124493824,0.000515935,0.123977889
Cara,0.086653057,8.04E-05,0.08657261
Cindee,0.224229704,0.00036835,0.223861354
Jake,0.225005891,0.000473994,0.224531898
Adam,0.1368184,0.000782411,0.13603599
Katie,0.114258372,0.000535268,0.113723104
Leslie,0.152351681,0.000887209,0.151464473
Kevin,0.113384917,0.00013791,0.113247007
Meg,0.13756599,0.000562906,0.137003084
Lee,0.14247887,0.001111554,0.141367315
Megan,0.149688907,0.000583994,0.149104913
Jay,0.092227162,0.000150441,0.092076721
Barbara,0.092401884,0.000610579,0.091791305
Brooke,0.111188688,0.000255971,0.110932716
MrsBond,0.121698174,0.000502884,0.121195289
Gretchen,0.133552561,0.000469391,0.13308317
Andie-,0.217678232,0.000285008,0.217393224
Steve ,0.203501493,0.000361437,0.203140055
Karen ,0.11237024,0.000687663,0.111682577
Grace ,0.090528244,9.80E-05,0.090430254
Iris ,0.121525255,0.001118806,0.120406449
Alex2,0.08020829,0.000845155,0.079363134
Kelsey2,0.127350058,0.000495603,0.126854455
Lauren2,0.184637131,0.000955707,0.183681423
